Title,Company,Experience,Salary,Location,Skills,Link
Design Engineer,AARNA HR SOLUTIONS PVT. LTD.,2-5 Yrs,Not disclosed,"Kolar, India","localization, development, japanese, resin, drafting, japan, co operative, cad",https://www.naukri.com/job-listings-design-engineer-aarna-hr-solutions-pvt-ltd-kolar-india-2-to-5-years-251116500242
Dot Net Full stack Developer ( Angular + Azure ),Hiring for Niche IT Consulting client,7-9 Yrs,Not disclosed,Chennai,"Azure, .net, Angular, C#, .Net Core, Asp.Net Core, DoT, Net Fullstack",https://www.naukri.com/job-listings-dot-net-full-stack-developer-angular-azure-acura-solutions-chennai-7-to-9-years-020425012416
Dot NET and Azure API Developer,Luxoft,4-9 Yrs,Not disclosed,Chennai,"Computer science, NUnit, GIT, VB.NET, TDD, Design review, PAAS, Agile",https://www.naukri.com/job-listings-dot-net-and-azure-api-developer-luxoft-chennai-4-to-9-years-020425500357
Principle Software Engineer - .Net FS,Naukri E-hire Campaign,7-11 Yrs,Not disclosed,Navi Mumbai,".Net, Angular, C#, .Net Core, Dot net, ASP.Net, Entity Framework, ASP.Net MVC",https://www.naukri.com/job-listings-principle-software-engineer-net-fs-naukri-e-hire-campaign-navi-mumbai-7-to-11-years-010425016308
PRODUCTION ASSISTANT,A.S Engineers,1-3 Yrs,Not disclosed,Ahmedabad,"PRODUCTION ASSISTANT, Assistance, Production",https://www.naukri.com/job-listings-production-assistant-a-s-engineers-ahmedabad-1-to-3-years-060225502508
SharePoint Trainee,Retransform,8-10 Yrs,Not disclosed,Mumbai,"IIS, jQuery, LINQ, XML, PHP, XSLT, MVC, microsoft",https://www.naukri.com/job-listings-sharepoint-trainee-retransform-mumbai-8-to-10-years-181223502998
Global Technical Support Engineer 1,Paypal,2-6 Yrs,Not disclosed,Chennai,"Unix, Production support, Analytical, Production engineering, Diversity and Inclusion, Debugging, Financial services, Monitoring",https://www.naukri.com/job-listings-global-technical-support-engineer-1-paypal-holdings-inc-chennai-2-to-6-years-100125505361
Deputy General Manager Operations,HBL ENGINEERING LIMITED,10-15 Yrs,20-25 Lacs PA,"Shamshabad, shadnagar","Production Planning Control, Material Planning, Production Engineering, Production, Materials, Operations management, General, Control plan",https://www.naukri.com/job-listings-deputy-general-manager-operations-hbl-power-systems-shamshabad-shadnagar-10-to-15-years-090524005574
Product Design Engineer,Roots Group of Companies,2-5 Yrs,Not disclosed,Coimbatore,"Gd&T, Solid Works, Design engineering, Gd, T, Solid, Design, Product design",https://www.naukri.com/job-listings-product-design-engineer-roots-group-of-companies-coimbatore-2-to-5-years-180325019058
Project Manager,Byasa Tech Solutions,3-6 Yrs,Not disclosed,Mumbai,"MS SQL, Team management, Database design, Project management, Postgresql, MySQL, PHP, System design",https://www.naukri.com/job-listings-project-manager-byasa-tech-solutions-mumbai-3-to-6-years-031224506825
Technician / Operator,Ipca,3-10 Yrs,Not disclosed,Mumbai,"software testing, mechanical engineering, quality control, production, preventive maintenance, microbiology, equipment, haematology",https://www.naukri.com/job-listings-technician-operator-ipca-laboratories-mumbai-3-to-10-years-190224500035
Software Engineer,NAVITAS LIFE SCIENCES,4-8 Yrs,Not disclosed,Chennai,"Software testing, Application testing, Debugging, Software development life cycle, .Net, Life sciences, Unit testing, Information technology",https://www.naukri.com/job-listings-software-engineer-navitas-llp-chennai-4-to-8-years-200924500741
Dot Net Developer,Techf Solutions,5-8 Yrs,5.5-7 Lacs PA,"Mumbai, Nagpur","ASP.Net, C#, VB.NET, HTML, JQuery, MS SQL, Stored Procedures, Java Script",https://www.naukri.com/job-listings-dot-net-developer-techf-solutions-mumbai-nagpur-5-to-8-years-170325010990
Dot Net Developer,Innovator Web Solution Pvt Ltd,2-7 Yrs,3-8 Lacs PA,Mumbai (All Areas)(Malad West),".net core, ASP.Net, .Net, web form, SQL, C#, react, MVC",https://www.naukri.com/job-listings-dot-net-developer-innovator-web-solution-pvt-ltd-mumbai-all-areas-2-to-7-years-170325007246
